longitudinal_ha,transversal_ha,unite,famille_id/id,code_article,longueur,largeur,poids_unit,diametre,diametre_longitudinal,maille_longitudinal,maille_transversal
,,U,production.production_famille_treillis_soudes,CLR12,2485,1500,1.18500004e+01,5.00000000e+00,5.00000000e+00,200,75
,,Kg,production.production_famille_fil_trefile,"TRR1,5",,,1.00000000e+00,1.50000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx3700,3700,,1.00000000e+00,6.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,PTS3,1830,1400,2.21000004e+01,8.00000000e+00,1.20000000e+01,200,125
,,Kg,production.production_famille_barres_dressees_coupees,TRD8x3000,3000,,1.00000000e+00,8.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,TRD6x3000,3000,,1.00000000e+00,6.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,TRD5x3000,3000,,1.00000000e+00,5.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,"TRD6,9x3000",3000,,1.00000000e+00,6.90000010e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx1400,1400,,1.00000000e+00,6.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC3L,6000,2400,3.19680004e+01,6.00000000e+00,6.00000000e+00,200,200
,,U,production.production_famille_treillis_soudes,TSL4L,6000,2400,1.90079994e+01,4.00000000e+00,4.00000000e+00,150,150
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx3700,3700,,1.00000000e+00,8.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR5,9",,,1.00000000e+00,5.90000010e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx2450,2450,,1.00000000e+00,6.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,EMAS1,6000,2450,5.27472000e+01,6.00000000e+00,6.00000000e+00,125,125
HA,HA,U,production.production_famille_treillis_soudes,EMAS2,6000,2450,2.63736000e+01,6.00000000e+00,6.00000000e+00,250,250
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HA x2450,2450,,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx6000,6000,,1.00000000e+00,6.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR4,4",,,1.00000000e+00,4.40000010e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR10,6",,,0.00000000e+00,1.06000004e+01,,,
,,Kg,production.production_famille_fil_machine,"FLM10,5",,,1.00000000e+00,1.05000000e+01,,,
,,U,production.production_famille_treillis_soudes,TSL3S,3000,2250,6.60799980e+00,4.00000000e+00,4.00000000e+00,200,200
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx2900,2900,,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx2200,2200,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx2900,2900,,1.00000000e+00,8.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC2S1,2400,600,2.95679998e+00,5.00000000e+00,5.00000000e+00,150,150
,,Kg,production.production_famille_fil_galvanise,TRRG4,,,1.00000000e+00,4.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC7,3000,2400,2.84400005e+01,8.00000000e+00,8.00000000e+00,200,200
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx4390,4390,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAx3140,3140,,1.00000000e+00,1.20000000e+01,,,
,,U,production.production_famille_treillis_soudes,TSLS0C,2000,1250,5.50000000e+00,2.86999989e+00,2.86999989e+00,50,50
,,U,production.production_famille_treillis_soudes,TSLS0B,2000,1000,4.44000006e+00,2.86999989e+00,2.86999989e+00,50,50
HA,HA,U,production.production_famille_treillis_soudes,TSC9,3000,2400,3.19680004e+01,6.00000000e+00,6.00000000e+00,100,100
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx2250,2250,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_spirale,SP1,1100,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD10HAx6000,6000,,1.00000000e+00,1.00000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD10HAx3000,3000,,1.00000000e+00,1.00000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD10HAx2400,2400,,1.00000000e+00,1.00000000e+01,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC19,3000,2400,5.91119995e+01,1.00000000e+01,1.00000000e+01,150,150
HA,HA,U,production.production_famille_treillis_soudes,TSC15,3000,2400,4.44239998e+01,1.00000000e+01,1.00000000e+01,200,200
HA,HA,U,production.production_famille_treillis_soudes,TSC20,3000,2400,6.39360008e+01,1.20000000e+01,1.20000000e+01,200,200
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAx2400,2400,,1.00000000e+00,1.20000000e+01,,,
,,Kg,production.production_famille_fil_machine,FLM11,,,1.00000000e+00,1.10000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAx3700,3700,,1.00000000e+00,1.20000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAx1830,1830,,1.00000000e+00,1.20000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx1830,1830,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx1400,1400,,1.00000000e+00,8.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,PTS1,1830,1400,1.17130003e+01,8.00000000e+00,8.00000000e+00,200,150
HA,HA,U,production.production_famille_treillis_soudes,PTS2,3700,1400,3.84090004e+01,8.00000000e+00,1.20000000e+01,225,150
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx1900,1900,,1.00000000e+00,8.00000000e+00,,,
